Main account,Name,Date,Journal number,Voucher,Posting type,Ledger account,Description,,Amount in transaction currency,,Amount in accounting currency,,Amount in reporting currency,
Main account,Name,Date,Journal number,Voucher,Posting type,Ledger account,Description,,Amount in transaction currency,,Amount in accounting currency,,Amount in reporting currency,
,,2023-01-01T00:00:00,327-049224,CLS2-2022,,013000-13233----,,AED,7000000,0,7000000,0,1714257.73,0
,,2023-01-01T00:00:00,327-049224,CLS2-2022,,013010-13233--1000_13233--,,AED,0,822948.92,0,822948.92,0,201590.11
,,2023-01-01T00:00:00,327-049224,CLS2-2022,,013010-13233----,,AED,0,275978.49,0,275978.49,0,67554.15
,,2023-01-31T00:00:00,327-043866,327-DEPR-010874,"Fixed assets, credit",013010-13233--1000_13233--,Depr. from 1/1/2023 to 1/31/2023,AED,0,22590.91,0,22590.91,0,5534.88
,,2023-02-28T00:00:00,327-045345,327-DEPR-011307,"Fixed assets, credit",013010-13233--1000_13233--,Depr. from 2/1/2023 to 2/28/2023,AED,0,22590.91,0,22590.91,0,5534.88
,,2023-03-31T00:00:00,327-046713,327-DEPR-011757,"Fixed assets, credit",013010-13233--1000_13233--,Depr. from 3/1/2023 to 3/31/2023,AED,0,22590.91,0,22590.91,0,5534.88
,,2023-04-30T00:00:00,327-048112,327-DEPR-012219,"Fixed assets, credit",013010-13233--1000_13233--,Depr. from 4/1/2023 to 4/30/2023,AED,0,"22,590.91",0,"22,590.91",0,5534.88
,,2023-05-31T00:00:00,327-050236,327-DEPR-012678,"Fixed assets, credit",013010-13233--1000_13233--,Depr. from 5/1/2023 to 5/31/2023,AED,0,"22,590.91",0,"22,590.91",0,5534.88
,,2023-06-30T00:00:00,327-051550,327-DEPR-013139,"Fixed assets, credit",013010-13233--1000_13233--,,AED,0,"22,590.91",0,22590.91,0,5534.88
,,2023-07-31T00:00:00,327-053124,13233-FASS-000311,"Fixed assets, credit",013010-13233--1000_13233--,,AED,0,22590.91,0,22590.91,0,5534.88
,,2023-08-31T00:00:00,327-054898,327-DEPR-013608,"Fixed assets, credit",013010-13233--1000_13233--,,AED,0,22590.91,0,22590.91,0,5534.88
,,2023-09-30T00:00:00,327-056366,327-DEPR-014049,"Fixed assets, credit",013010-13233--1000_13233--,,AED,0,22590.91,0,22590.91,0,5534.88
,,2023-10-31T00:00:00,327-058488,327-DEPR-014491,"Fixed assets, credit",013010-13233--1000_13233--,,AED,0,22590.91,0,22590.91,0,5534.88
